,Stock,Name,전화번호/0A1090,중분류/0A1132,PER(FY End)/0D2103,Dividend Yield(FY End)/0D2153,PBR(FY End)/0D2123,기말주가/0D1133,유동자산(계)/012000,유동부채(계)/016000,부채비율/093060,유동비율/193020,자기자본순이익율/092070,매출액/121000,재고자산회전율1/194080,매출채권회전율/194120,EBITDA/0D2010,주당순이익/0D2001,주당순이익/0D2001.1,PCR(FY End)/0D2133,매출액증가율/091060,영업이익(손실)/125000,Final Grade,Environment,Social,Governance
0,59210.0,메타바이오메드,043-218-1981,C21000/의료용 물질 및 의약품 제조업,21.48026315789,0.0,1.50652442738,3265.0,52716181000.0,46399726000.0,95.38,113.61,13.13,26889648000.0,4.82,2.54,3354992000.0,-193,152,42.6351527814,34.45,1709471000.0,0,0,0,0
1,39020.0,이건홀딩스,032-760-0001,C16000/목재 및 나무제품 제조업;가구제외,18.52090032154,0.0,0.83365536166,5760.0,4418482000.0,12536951000.0,18.48,35.24,8.82,10302398000.0,,36.5,7870173000.0,-7,311,35.67226110113,168.52,7800851000.0,1,1,1,1
2,36480.0,대성미생물연구소,031-461-7103,C21000/의료용 물질 및 의약품 제조업,192.30769230769,0.0,2.42387158005,22500.0,23324615000.0,3966623000.0,70.18,588.02,2.46,11803252000.0,2.63,6.32,1279265000.0,400,117,51.26102111954,-10.78,142803000.0,2,2,2,2
3,84110.0,휴온스글로벌,02-854-4700,C21000/의료용 물질 및 의약품 제조업,109.46166394779,0.0,2.49333098987,67100.0,15705448000.0,121858242000.0,37.63,12.89,4.47,19806617000.0,26.99,20.67,8001036000.0,1301,613,,-14.45,7203560000.0,B,C,B,B+
4,36460.0,한국가스공사,053-670-0114,"D35000/전기, 가스, 증기 및 공기조절 공급업",8.85954381752,0.0,0.5194491474,36900.0,5311438404000.0,5954618436000.0,386.01,89.2,10.64,12064087374000.0,17.86,7.58,1302271364000.0,-1082,4165,1.60773315289,3.89,731323476000.0,B,C,B,B+
5,33780.0,케이티앤지,080-931-0399,C12000/담배 제조업,21.8031516404,0.0,1.46879319148,84400.0,4218498634000.0,1533105603000.0,20.67,275.16,11.99,1708693655000.0,3.51,3.05,644389544000.0,8553,3871,60.43118077085,8.88,574329544000.0,D,D,C,C
6,44960.0,이글벳,041-331-4100,G46000/도매 및 상품중개업,34.82490272373,0.0,2.81946597109,8950.0,25620573000.0,8032513000.0,25.96,318.96,16.14,20178103000.0,4.84,3.85,3890376000.0,200,257,36.98805637062,0.57,3156832000.0,6,6,6,6
7,67080.0,대화제약,02-586-6451,C21000/의료용 물질 및 의약품 제조업,68.55670103092,0.0,2.86472468488,13300.0,42447408000.0,65479086000.0,84.7,64.83,7.82,43252061000.0,5.61,7.1,3366800000.0,-32,194,30.330672748,5.29,1515553000.0,B,B,B,B
8,92460.0,한라아이엠에스,051-601-7000,C31000/기타 운송장비 제조업,80.71428571428,0.0,1.21546545335,9040.0,49522525000.0,40712777000.0,96.16,121.64,3.04,25787595000.0,4.61,9.11,1243539000.0,313,112,,2.15,664486000.0,8,8,8,8
9,42520.0,한스바이오메드,02-466-2266,C21000/의료용 물질 및 의약품 제조업,,0.0,2.23211884553,12450.0,53074247000.0,35078684000.0,125.66,151.3,-8.68,22216339000.0,3.89,2.05,-3732854000.0,-2355,-255,,-33.38,-5207938000.0,9,9,9,9
